Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sample,Chrome 128.0.0.0,,,17-09-2024 11:27:40,17-09-2024 11:28:38,57.675s,PASSED
,,,,,,,
Test Cases/UI components/drag and drop,Chrome 128.0.0.0,,,17-09-2024 11:27:40,17-09-2024 11:27:46,6.132s,PASSED
"openBrowser(""https://jqueryui.com/droppable/"")",Chrome 128.0.0.0,,,17-09-2024 11:27:41,17-09-2024 11:27:44,3.372s,PASSED
"dragAndDropToObject(findTestObject(""Page_Droppable  jQuery UI/div_Drag me to my target""), findTestObject(""Page_Droppable  jQuery UI/div_Drop here""))",Chrome 128.0.0.0,,,17-09-2024 11:27:44,17-09-2024 11:27:46,1.896s,PASSED
"getText(findTestObject(""Page_Droppable  jQuery UI/div_Drop here""))",Chrome 128.0.0.0,,,17-09-2024 11:27:46,17-09-2024 11:27:46,0.321s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,17-09-2024 11:27:46,17-09-2024 11:27:46,0.233s,PASSED
,,,,,,,
Test Cases/UI components/file download,Chrome 128.0.0.0,,,17-09-2024 11:27:46,17-09-2024 11:28:14,27.435s,PASSED
"openBrowser(""https://file-examples.com/index.php/text-files-and-archives-download/"")",Chrome 128.0.0.0,,,17-09-2024 11:27:47,17-09-2024 11:27:52,5.509s,PASSED
"click(findTestObject(""Page_Sample text files and archives download  File Examples Download/a_Download sample CSV file""))",Chrome 128.0.0.0,,,17-09-2024 11:27:52,17-09-2024 11:28:08,15.703s,PASSED
"verifyElementClickable(findTestObject(""Page_Sample text files and archives download  File Examples Download/a_Download sample CSV file""))",Chrome 128.0.0.0,,,17-09-2024 11:28:08,17-09-2024 11:28:08,0.442s,PASSED
waitForPageLoad(2),Chrome 128.0.0.0,,,17-09-2024 11:28:08,17-09-2024 11:28:08,0.167s,PASSED
"navigateToUrl(""https://file-examples.com/wp-content/storage/2017/02/file_example_CSV_5000.csv"")",Chrome 128.0.0.0,,,17-09-2024 11:28:08,17-09-2024 11:28:08,0.056s,PASSED
delay(5),Chrome 128.0.0.0,,,17-09-2024 11:28:08,17-09-2024 11:28:14,5.139s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,17-09-2024 11:28:14,17-09-2024 11:28:14,0.244s,PASSED
,,,,,,,
Test Cases/UI components/file upload,Chrome 128.0.0.0,,,17-09-2024 11:28:14,17-09-2024 11:28:37,23.118s,PASSED
"openBrowser(""https://www.filesharing.com"")",Chrome 128.0.0.0,,,17-09-2024 11:28:14,17-09-2024 11:28:24,10.251s,PASSED
"click(findTestObject(""Page_Filesharing.com - Send  Share Large Files Online - Up to 1GB Free Filehosting/a_Log in""))",Chrome 128.0.0.0,,,17-09-2024 11:28:24,17-09-2024 11:28:26,2.180s,PASSED
"setText(findTestObject(""Page_Filesharing.com - Send  Share Large Files Online - Up to 1GB Free Filehosting/input_Email_email""), ""priyasmdgl99@gmail.com"")",Chrome 128.0.0.0,,,17-09-2024 11:28:26,17-09-2024 11:28:27,0.984s,PASSED
delay(5),Chrome 128.0.0.0,,,17-09-2024 11:28:27,17-09-2024 11:28:32,5.012s,PASSED
"click(findTestObject(""Page_Filesharing.com - Send  Share Large Files Online - Up to 1GB Free Filehosting/button_Log in""))",Chrome 128.0.0.0,,,17-09-2024 11:28:32,17-09-2024 11:28:33,0.303s,PASSED
"getText(findTestObject(""Page_Filesharing.com - Send  Share Large Files Online - Up to 1GB Free Filehosting/p_We have sent you an email with a link to login""))",Chrome 128.0.0.0,,,17-09-2024 11:28:33,17-09-2024 11:28:37,4.068s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,17-09-2024 11:28:37,17-09-2024 11:28:37,0.225s,PASSED
